age,gender,income,experience_years,monthly_spending,credit_score,has_credit_card,loan_amount,defaulted,city_Unknown,city_faisalabad,city_islamabad,city_karachi,city_rawalpindi,education_Intermediate,education_Master,education_Matric,education_PhD,education_Unknown,signup_year,signup_month,signup_day,signup_dayofweek,employment_type_Government,employment_type_Private,employment_type_Student,employment_type_Unemployed
33.0,1,59475.68,18,24572.07,695.0,0,138353.87,0,0,0,0,0,0,1,0,0,0,0,2020,1,16,3,1,0,0,0
62.0,0,44356.73,12,30771.04,468.0,1,523390.35,0,1,0,0,0,0,0,0,1,0,0,2020,1,17,4,0,0,1,0
64.0,0,83983.1,26,31157.06,776.0,1,284067.14,0,0,1,0,0,0,0,0,0,1,0,2020,1,18,5,0,1,0,0
67.0,1,50089.12,24,66597.78,682.0,0,224129.22,0,0,0,1,0,0,0,0,0,1,0,2020,1,19,6,1,0,0,0
46.22862068965517,0,16234.51,21,16210.98,565.0,1,201400.4,0,0,0,1,0,0,0,0,1,0,0,2020,1,20,0,0,0,0,1
19.0,0,69453.95,16,30475.6,566.0,1,391290.17,0,0,1,0,0,0,1,0,0,0,0,2020,1,21,1,0,1,0,0
47.0,1,56892.91,25,49693.99,659.0,1,188035.79,0,0,0,1,0,0,0,0,0,0,0,2020,1,22,2,0,0,0,0
33.0,1,85476.32999999999,28,34798.72,544.0,1,230351.87,0,0,0,0,0,0,0,0,0,1,0,2020,1,23,3,0,1,0,0
31.0,1,78445.58,31,34763.97,731.0,1,247704.90777003483,0,0,0,1,0,0,0,0,0,1,0,2020,1,24,4,0,0,0,0
46.22862068965517,1,102667.16,24,19542.05,825.0,1,359426.22,0,0,1,0,0,0,0,1,0,0,0,2020,1,25,5,0,0,1,0
64.0,0,41300.58,34,53535.5,387.0,1,191453.46,1,0,0,0,0,0,0,0,0,1,0,2020,1,26,6,0,0,1,0
63.0,1,72347.8,11,54133.1,303.0,1,237791.32,0,0,0,0,1,0,0,1,0,0,0,2020,1,27,0,0,0,1,0
30.0,0,68583.23,3,34798.72,809.0,1,270733.03,0,0,0,0,0,0,0,0,0,0,0,2020,1,28,1,0,0,0,1
41.0,0,70968.21,5,27433.89,840.0,1,-18893.53,0,0,0,0,0,1,0,0,0,1,0,2020,1,29,2,0,0,1,0
60.0,0,127470.91,11,42191.61,762.0,0,397244.4,0,0,0,0,0,0,0,1,0,0,0,2020,1,30,3,0,0,0,1
26.0,1,130851.96,4,54607.7,343.0,1,23747.96,1,0,1,0,0,0,0,0,1,0,0,2020,1,31,4,0,0,1,0
-5.0,1,87674.16,34,28539.23,524.0,0,459441.32,0,0,0,1,0,0,0,0,0,1,0,2020,1,2,3,1,0,0,0
43.0,0,95378.03,24,41822.74,793.0,1,89008.78,1,0,0,1,0,0,0,0,1,0,0,2020,2,2,6,0,1,0,0
70.0,1,103175.66,14,75005.71,786.0,1,494239.53,0,0,1,0,0,0,0,0,1,0,0,2020,3,2,0,0,0,1,0
60.0,0,106527.47,11,40369.73,388.0,1,208138.71,0,0,0,0,0,1,1,0,0,0,0,2020,4,2,3,0,0,0,0
31.0,0,109865.92,21,7937.63,647.0,1,378893.33,1,0,0,0,0,1,0,0,0,0,0,2020,5,2,5,0,1,0,0
65.0,1,85476.32999999999,2,49185.26,725.0,1,300291.4,1,0,1,0,0,0,0,1,0,0,0,2020,6,2,1,1,0,0,0
63.0,1,100023.12,19,6196.1,574.3770154373927,1,196227.24,0,0,0,1,0,0,0,0,0,0,0,2020,7,2,3,0,1,0,0
30.0,0,111644.82,5,31884.66,391.0,1,203263.2,1,0,0,0,0,1,1,0,0,0,0,2020,8,2,6,0,0,0,0
47.0,1,38307.35,7,54642.52,411.0,0,114074.7,1,0,0,0,0,0,1,0,0,0,0,2020,9,2,2,0,0,0,1
63.0,1,81008.02,25,66450.03,696.0,1,32147.66,0,1,0,0,0,0,1,0,0,0,0,2020,10,2,4,0,1,0,0
31.0,1,85476.32999999999,15,46965.47,521.0,0,200806.34,1,0,0,0,0,1,0,0,1,0,0,2020,11,2,0,0,0,0,0
31.0,1,23099.56,13,18644.42,512.0,0,198684.66,0,0,0,0,0,0,0,0,0,1,0,2020,12,2,2,0,0,1,0
27.0,1,73278.0,29,51038.27,404.0,0,376916.71,0,0,1,0,0,0,0,1,0,0,0,2020,2,13,3,0,0,1,0
18.0,0,109955.37,8,0.0,582.0,0,92149.9,0,0,0,1,0,0,0,0,0,1,0,2020,2,14,4,0,1,0,0
46.0,0,120125.34,33,28491.21,658.0,1,159002.45,1,0,0,0,0,0,0,0,0,1,0,2020,2,15,5,0,0,0,1
18.0,0,89174.57,2,21382.64,644.0,0,298081.35,0,0,0,0,0,0,1,0,0,0,0,2020,2,16,6,0,0,0,1
51.0,1,49093.91,12,41535.82,782.0,0,322897.71,0,0,0,0,0,1,0,1,0,0,0,2020,2,17,0,1,0,0,0
41.0,0,110828.09,11,31639.67,828.0,0,347866.62,0,0,0,1,0,0,0,1,0,0,0,2020,2,18,1,1,0,0,0
28.0,1,65683.68,8,62275.52,424.0,0,311732.89,0,0,0,0,0,1,0,1,0,0,0,2020,2,19,2,1,0,0,0
38.0,0,82415.99,4,68159.34,508.0,0,235546.18,0,0,0,1,0,0,0,1,0,0,0,2020,2,20,3,0,0,1,0
18.0,0,79627.86,10,32073.91,329.0,1,261305.0,1,0,1,0,0,0,0,0,0,0,0,2020,2,21,4,0,0,0,1
26.0,1,120908.59,2,26210.39,505.0,1,344160.65,1,0,0,1,0,0,0,0,0,0,0,2020,2,22,5,1,0,0,0
44.0,1,128227.57,26,44471.2,502.0,1,404696.41,0,0,0,0,0,0,1,0,0,0,0,2020,2,23,6,1,0,0,0
22.0,1,100433.31,7,28389.11,322.0,0,236969.72,1,0,0,0,0,1,0,1,0,0,0,2020,2,24,0,0,0,0,0
59.0,1,85476.32999999999,28,46132.63,479.0,0,233229.72,1,0,0,1,0,0,0,1,0,0,0,2020,2,25,1,0,0,0,0
32.0,0,83339.64,7,34045.31,378.0,1,356381.46,0,0,0,0,0,0,0,0,0,0,0,2020,2,26,2,1,0,0,0
70.0,0,51969.1,2,13559.2,322.0,0,158621.31,0,0,0,1,0,0,0,0,0,0,0,2020,2,27,3,0,0,1,0
27.0,0,80973.69,12,49023.16,340.0,0,224928.39,0,0,0,0,0,0,0,0,1,0,0,2020,2,28,4,0,0,0,1
53.0,1,118618.69,16,34798.72,334.0,1,363241.68,1,0,0,1,0,0,0,0,0,0,0,2020,2,29,5,0,1,0,0
47.0,1,79441.48,24,58364.58,574.3770154373927,1,169284.18,0,0,0,0,1,0,1,0,0,0,0,2020,1,3,4,1,0,0,0
70.0,1,70034.62,32,16012.97,755.0,0,275952.9,0,0,0,0,1,0,0,0,0,1,0,2020,2,3,0,0,1,0,0
53.0,0,74960.67,30,20713.74,681.0,1,212585.66,0,0,0,1,0,0,0,0,0,0,0,2020,3,3,1,0,0,0,0
67.0,0,85476.32999999999,1,9999999.0,547.0,1,238729.85,0,0,1,0,0,0,0,0,1,0,0,2020,4,3,4,0,0,0,0
44.0,0,109573.82,8,21865.49,768.0,0,328772.41,0,0,0,0,1,0,1,0,0,0,0,2020,5,3,6,0,0,0,0
30.0,1,130553.87,12,38495.41,479.0,0,218272.51,0,0,0,0,0,1,0,0,0,0,0,2020,6,3,2,0,0,0,0
28.0,0,60430.09,17,35984.41,687.0,1,102801.66,0,0,0,0,0,1,1,0,0,0,0,2020,7,3,4,0,0,1,0
67.0,1,101262.43,16,42929.35,471.0,1,301921.99,0,0,0,0,0,0,0,0,0,1,0,2020,8,3,0,0,0,0,0
46.22862068965517,1,41789.7,6,52317.5,574.3770154373927,1,286660.76,0,0,0,1,0,0,0,0,0,1,0,2020,9,3,3,0,1,0,0
46.22862068965517,1,85476.32999999999,11,30900.21,539.0,0,163438.75,0,0,0,0,0,1,0,0,1,0,0,2020,10,3,5,0,0,0,1
48.0,1,80193.94,8,6026.85,559.0,1,347585.63,0,0,0,0,0,0,0,0,0,0,0,2020,11,3,1,0,1,0,0
33.0,0,59518.95,22,13850.62,327.0,1,188428.47,0,0,0,1,0,0,1,0,0,0,0,2020,12,3,3,0,0,0,0
41.0,1,67329.32,0,25550.85,348.0,0,333805.04,0,0,0,1,0,0,0,0,1,0,0,2020,3,13,4,1,0,0,0
63.0,0,75024.48,27,47838.61,309.0,1,378572.69,0,0,0,1,0,0,1,0,0,0,0,2020,3,14,5,1,0,0,0
43.0,0,94035.7,3,30199.58,829.0,0,196510.66,0,0,0,0,0,0,0,0,0,1,0,2020,3,15,6,0,0,1,0
67.0,1,53743.68,19,9674.08,515.0,1,303153.58,0,0,0,1,0,0,0,0,0,1,0,2020,3,16,0,1,0,0,0
46.22862068965517,1,69810.89,5,25485.94,574.3770154373927,0,393123.92,1,0,0,1,0,0,0,1,0,0,0,2020,3,17,1,0,0,0,0
35.0,1,49801.75,8,34798.72,806.0,0,194463.72,0,0,0,0,0,1,0,1,0,0,0,2020,3,18,2,0,1,0,0
47.0,0,110106.96,34,31541.26,724.0,0,230401.53,0,0,1,0,0,0,0,0,1,0,0,2020,3,19,3,0,0,0,0
48.0,0,93629.61,29,25804.84,648.0,1,145103.35,0,0,1,0,0,0,0,0,0,0,0,2020,3,20,4,1,0,0,0
48.0,0,101376.57,4,30837.17,648.0,1,314783.86,0,0,0,0,0,0,0,0,0,0,0,2020,3,21,5,0,0,0,0
46.22862068965517,0,71162.43,18,13540.89,632.0,1,482130.41,0,0,0,0,0,1,0,0,0,1,0,2020,3,22,6,0,0,1,0
39.0,0,137891.61,15,31078.45,578.0,0,236276.31,0,0,0,0,1,0,0,0,0,0,0,2020,3,23,0,0,0,0,1
51.0,0,63600.2,7,8814.37,670.0,1,267277.19,0,0,0,1,0,0,1,0,0,0,0,2020,3,24,1,0,0,0,1
70.0,1,57196.32,18,40837.65,327.0,0,152129.06,0,0,1,0,0,0,1,0,0,0,0,2020,3,25,2,0,0,0,1
31.0,1,105452.27,20,31720.76,312.0,1,74588.68,0,0,0,0,1,0,0,1,0,0,0,2020,3,26,3,0,1,0,0
54.0,0,48057.4,2,50535.44,781.0,0,304765.83,0,0,0,0,1,0,0,0,1,0,0,2020,3,27,4,0,0,0,0
61.0,1,116935.95,1,33133.89,797.0,1,526662.36,0,0,1,0,0,0,0,0,1,0,0,2020,3,28,5,0,0,0,0
70.0,1,95386.39,3,49123.79,528.0,1,182637.11,0,0,0,0,1,0,0,1,0,0,0,2020,3,29,6,0,0,1,0
27.0,1,95827.18,20,23709.17,686.0,1,247704.90777003483,0,0,1,0,0,0,0,0,0,0,0,2020,3,30,0,0,0,0,1
56.0,1,116607.71,8,32152.86,834.0,1,177650.99,0,0,1,0,0,0,0,0,0,1,0,2020,3,31,1,0,0,1,0
35.0,0,121221.57,21,34798.72,575.0,1,254477.04,0,0,0,0,1,0,0,0,0,0,0,2020,1,4,5,0,0,0,0
43.0,1,91732.05,20,12204.91,301.0,1,511569.31,1,0,0,1,0,0,0,0,1,0,0,2020,2,4,1,0,0,0,0
18.0,0,94195.2,7,9708.6,336.0,0,412994.78,0,0,0,0,1,0,0,1,0,0,0,2020,3,4,2,0,0,1,0
59.0,1,66309.05,29,34798.72,731.0,0,503886.19,0,0,1,0,0,0,0,1,0,0,0,2020,4,4,5,0,0,0,0
19.0,1,18801.67,31,32757.15,373.0,0,555700.31,1,0,0,0,1,0,0,0,0,1,0,2020,5,4,0,1,0,0,0
39.0,0,72432.49,15,34798.72,843.0,0,161724.73,0,0,0,0,1,0,0,0,1,0,0,2020,6,4,3,0,0,0,1
46.0,1,33878.56,10,62181.46,627.0,0,230609.94,0,0,1,0,0,0,0,1,0,0,0,2020,7,4,5,1,0,0,0
56.0,0,78071.12,32,29426.6,503.0,1,399374.71,1,0,0,0,0,0,0,0,1,0,0,2020,8,4,1,0,0,1,0
44.0,1,124556.13,27,30431.66,549.0,1,128545.23,0,0,0,0,0,0,0,0,0,0,0,2020,9,4,4,0,1,0,0
65.0,1,79763.81,12,40788.71,497.0,1,214483.55,0,0,0,1,0,0,0,0,0,1,0,2020,10,4,6,1,0,0,0
46.22862068965517,1,100784.63,29,22898.13,579.0,0,100660.08,0,0,0,0,0,1,0,0,1,0,0,2020,11,4,2,0,0,1,0
32.0,0,75871.6,6,24041.35,821.0,0,113815.06,0,0,0,0,0,0,0,0,0,1,0,2020,12,4,4,0,0,0,0
32.0,1,91854.41,11,10569.18,836.0,0,242127.74,0,0,0,1,0,0,0,0,0,0,0,2020,4,13,0,0,1,0,0
46.22862068965517,0,79576.64,31,51562.03,816.0,0,231822.04,0,0,1,0,0,0,0,1,0,0,0,2020,4,14,1,0,0,0,0
18.0,0,85476.32999999999,13,44022.96,756.0,1,270752.88,0,0,0,0,0,1,0,0,0,0,0,2020,4,15,2,0,0,0,0
42.0,0,87872.39,1,24725.01,574.3770154373927,0,431821.22,1,0,0,0,1,0,0,0,1,0,0,2020,4,16,3,0,0,1,0
39.0,0,28235.58,3,27617.4,321.0,1,154312.29,1,0,0,0,0,1,0,0,0,1,0,2020,4,17,4,0,1,0,0
51.0,0,57246.43,32,8504.28,746.0,1,31076.25,0,0,0,0,1,0,0,0,0,0,0,2020,4,18,5,0,1,0,0
50.0,1,75873.24,4,9523.12,703.0,1,292573.72,0,0,1,0,0,0,0,0,0,0,0,2020,4,19,6,0,1,0,0
34.0,1,85476.32999999999,26,62047.8,817.0,1,254116.29,0,0,0,0,0,1,0,0,0,0,0,2020,4,20,0,0,0,1,0
42.0,1,89649.59,18,29813.32,358.0,0,190378.25,0,0,0,0,0,1,0,0,0,0,0,2020,4,21,1,0,0,0,1
46.0,0,71570.02,24,45935.07,362.0,0,130872.87,1,0,0,0,0,0,0,1,0,0,0,2020,4,22,2,0,0,0,1
65.0,0,29840.36,5,48033.15,574.3770154373927,1,204694.32,1,0,0,0,0,0,0,1,0,0,0,2020,4,23,3,0,0,1,0
46.22862068965517,1,105717.3,22,38771.56,484.0,1,175552.26,0,0,0,1,0,0,0,1,0,0,0,2020,4,24,4,1,0,0,0
53.0,1,76743.77,30,61901.42,818.0,1,248781.76,0,0,1,0,0,0,0,0,0,1,0,2020,4,25,5,0,1,0,0
22.0,1,64577.91,13,32727.7,479.0,1,272621.53,0,0,0,1,0,0,0,0,1,0,0,2020,4,26,6,0,1,0,0
33.0,1,86686.3,9,38328.24,364.0,1,244852.29,0,0,0,0,0,1,0,0,1,0,0,2020,4,27,0,1,0,0,0
43.0,0,80996.32,23,37265.83,396.0,0,166524.83,0,0,0,0,1,0,1,0,0,0,0,2020,4,28,1,0,0,0,1
64.0,1,50082.59,34,34079.53,557.0,1,309496.54,0,0,1,0,0,0,0,0,1,0,0,2020,4,29,2,0,1,0,0
37.0,0,77236.9,26,78108.08,399.0,1,191737.8,0,0,0,1,0,0,0,0,0,1,0,2020,4,30,3,0,0,1,0
46.0,0,48032.57,1,36526.68,653.0,1,172157.38,0,0,0,0,0,0,0,1,0,0,0,2020,1,5,6,1,0,0,0
50.0,1,144805.74,30,36340.66,458.0,1,152703.73,0,0,0,0,1,0,0,1,0,0,0,2020,2,5,2,1,0,0,0
61.0,1,82447.09,19,30892.73,777.0,0,263526.13,0,0,0,0,1,0,0,0,0,0,0,2020,3,5,3,0,1,0,0
40.0,1,93795.96,18,25164.43,426.0,1,108713.59,0,1,0,0,0,0,1,0,0,0,0,2020,4,5,6,0,0,0,0
50.0,0,117557.21,23,32990.87,373.0,1,250324.58,0,0,0,0,0,0,0,0,0,0,0,2020,5,5,1,1,0,0,0
65.0,0,128428.89,22,26136.89,627.0,1,307587.46,0,1,0,0,0,0,0,0,0,0,0,2020,6,5,4,0,0,0,0
42.0,1,74485.38,9,29160.35,643.0,0,188983.28,0,0,0,0,0,1,0,1,0,0,0,2020,7,5,6,0,1,0,0
71.0,1,129946.78,10,43024.6,715.0,1,228591.39,0,0,0,0,0,1,0,0,1,0,0,2020,8,5,2,0,0,0,0
40.0,0,18861.0,34,16721.58,592.0,0,-4939.53,0,0,1,0,0,0,0,0,0,1,0,2020,9,5,5,1,0,0,0
42.0,1,119335.43,28,44472.11,694.0,1,399577.16,0,0,0,0,0,1,0,0,1,0,0,2020,10,5,0,0,0,1,0
19.0,0,142137.0,7,41561.2,466.0,0,530982.73,0,0,0,0,0,0,0,0,1,0,0,2020,11,5,3,0,0,0,0
48.0,0,98921.72,22,36988.97,449.0,1,272625.32,0,0,0,1,0,0,0,0,0,1,0,2020,12,5,5,1,0,0,0
44.0,1,100809.89,21,41621.74,821.0,1,377257.41,0,0,0,1,0,0,0,1,0,0,0,2020,5,13,2,0,1,0,0
41.0,0,101023.83,7,24669.19,663.0,1,456793.64,0,0,0,0,1,0,0,0,0,1,0,2020,5,14,3,0,0,0,1
53.0,0,56387.78,13,34798.72,473.0,1,264442.86,0,0,0,0,0,1,0,1,0,0,0,2020,5,15,4,0,0,0,0
49.0,0,68917.53,26,31465.26,308.0,0,442812.65,1,0,0,0,0,1,1,0,0,0,0,2020,5,16,5,0,0,0,1
46.22862068965517,0,85476.32999999999,28,61655.57,607.0,1,247704.90777003483,0,0,0,0,1,0,0,1,0,0,0,2020,5,17,6,0,1,0,0
41.0,0,121942.71,8,56688.04,397.0,1,129822.67,0,0,0,1,0,0,0,0,1,0,0,2020,5,18,0,0,0,1,0
42.0,1,85476.32999999999,16,39577.07,760.0,1,298763.35,0,0,0,0,1,0,0,0,1,0,0,2020,5,19,1,0,0,0,0
64.0,1,109633.6,31,38158.83,390.0,0,83510.37,1,0,0,1,0,0,0,0,0,1,0,2020,5,20,2,0,1,0,0
45.0,1,103046.36,24,23106.55,347.0,0,410821.57,1,0,0,0,0,0,0,0,0,0,0,2020,5,21,3,1,0,0,0
32.0,1,92762.64,28,33791.33,353.0,0,80721.61,0,0,0,0,0,1,0,1,0,0,0,2020,5,22,4,0,1,0,0
47.0,1,88599.09,27,22350.3,597.0,0,236780.58,0,0,0,0,0,0,1,0,0,0,0,2020,5,23,5,0,1,0,0
46.0,0,68690.23,8,47912.33,715.0,1,-58679.79,1,0,0,0,0,1,0,0,0,1,0,2020,5,24,6,0,0,0,1
41.0,0,67350.0,33,14897.91,453.0,1,79618.5,0,0,0,0,0,0,0,0,0,0,0,2020,5,25,0,0,0,0,1
48.0,1,98935.92,10,16701.41,686.0,0,82867.28,0,0,0,0,1,0,0,0,0,1,0,2020,5,26,1,1,0,0,0
50.0,0,131064.88,6,32362.06,739.0,1,240667.96,0,0,0,0,0,1,0,1,0,0,0,2020,5,27,2,1,0,0,0
73.0,0,83984.41,3,52103.7,659.0,0,218321.27,0,0,0,1,0,0,1,0,0,0,0,2020,5,28,3,1,0,0,0
22.0,1,125119.68,16,34798.72,530.0,0,259314.06,0,0,0,0,1,0,0,1,0,0,0,2020,5,29,4,0,0,1,0
70.0,1,97117.67,15,42460.83,531.0,1,321796.15,0,0,0,0,0,0,1,0,0,0,0,2020,5,30,5,0,0,0,0
45.0,0,54540.38,34,23753.18,680.0,0,407936.19,0,1,0,0,0,0,0,1,0,0,0,2020,5,31,6,1,0,0,0
39.0,1,74555.22,2,17921.66,689.0,0,122743.52,0,0,0,1,0,0,0,0,0,1,0,2020,1,6,0,0,0,0,0
52.0,0,113464.25,34,29311.36,357.0,1,133972.67,0,0,0,1,0,0,0,0,0,1,0,2020,2,6,3,0,0,0,0
24.0,0,84438.01,22,11080.25,631.0,1,219048.56,0,0,0,0,0,0,0,0,0,0,0,2020,3,6,4,0,0,0,1
60.0,1,71687.01,9,24656.37,550.0,1,380875.16,0,0,0,1,0,0,0,1,0,0,0,2020,4,6,0,0,0,0,0
23.0,1,91430.44,12,31065.67,517.0,1,94996.99,0,0,0,0,1,0,0,0,1,0,0,2020,5,6,2,0,0,0,0
46.22862068965517,1,85476.32999999999,8,34798.72,448.0,1,474688.46,1,0,0,0,0,1,0,1,0,0,0,2020,6,6,5,0,1,0,0
29.0,1,77636.75,16,62519.3,574.3770154373927,0,68833.7,0,0,0,0,0,0,0,0,0,0,0,2020,7,6,0,0,0,0,1
35.0,0,38934.76,16,56345.35,723.0,1,43760.54,0,0,0,0,0,0,0,0,1,0,0,2020,8,6,3,0,1,0,0
44.0,1,78469.85,9,48714.24,388.0,0,407956.01,0,0,1,0,0,0,0,0,0,1,0,2020,9,6,6,1,0,0,0
18.0,0,72620.6,11,36061.67,386.0,1,252912.52,0,0,0,0,1,0,0,0,1,0,0,2020,10,6,1,1,0,0,0
68.0,1,99968.61,29,11412.03,501.0,0,319294.3,0,0,0,0,1,0,0,0,0,1,0,2020,11,6,4,0,0,1,0
61.0,1,97099.88,33,26321.24,539.0,1,320057.39,0,0,0,0,1,0,1,0,0,0,0,2020,12,6,6,0,1,0,0
72.0,0,82649.84,8,34798.72,704.0,1,247704.90777003483,0,0,0,1,0,0,0,0,0,1,0,2020,6,13,5,0,0,0,1
22.0,0,149023.41,11,57911.26,603.0,1,403744.2,0,0,0,0,0,0,1,0,0,0,0,2020,6,14,6,0,0,1,0
28.0,0,104060.26,7,41287.25,387.0,0,329665.32,0,0,0,1,0,0,1,0,0,0,0,2020,6,15,0,1,0,0,0
45.0,1,99852.21,33,44660.1,378.0,1,293405.49,0,0,0,1,0,0,0,0,0,0,0,2020,6,16,1,1,0,0,0
66.0,1,25684.98,15,46942.53,573.0,1,286651.91,1,0,0,0,0,0,0,0,0,1,0,2020,6,17,2,0,0,0,1
35.0,0,26891.58,16,52201.98,820.0,0,291247.94,1,0,0,0,0,0,0,0,0,0,0,2020,6,18,3,0,1,0,0
35.0,1,110318.84,30,63240.25,322.0,0,131387.18,0,0,0,0,0,1,0,1,0,0,0,2020,6,19,4,1,0,0,0
65.0,1,47878.06,8,37451.28,769.0,0,211888.03,1,0,1,0,0,0,1,0,0,0,0,2020,6,20,5,0,0,0,0
18.0,0,58350.5,34,52420.8,687.0,0,304052.57,0,0,0,0,0,0,0,0,0,0,0,2020,6,21,6,0,0,1,0
72.0,1,58973.99,19,23076.72,528.0,1,209018.87,0,0,0,1,0,0,1,0,0,0,0,2020,6,22,0,0,0,0,1
28.0,1,106108.51,20,60703.59,625.0,1,257139.26,0,0,1,0,0,0,0,0,1,0,0,2020,6,23,1,0,0,1,0
36.0,1,102748.61,8,59418.15,706.0,0,245537.73,0,0,0,0,0,0,0,1,0,0,0,2020,6,24,2,0,1,0,0
36.0,1,96189.15,26,32788.79,824.0,1,285479.58,0,0,1,0,0,0,0,0,1,0,0,2020,6,25,3,0,0,0,0
69.0,1,85476.32999999999,34,53152.39,786.0,1,313990.16,0,0,0,0,0,1,0,0,1,0,0,2020,6,26,4,0,0,0,0
64.0,1,52425.39,13,41097.94,560.0,1,256816.4,0,0,0,1,0,0,0,0,1,0,0,2020,6,27,5,0,0,0,0
37.0,0,83604.84,31,42200.89,539.0,0,327009.67,0,0,0,0,0,1,0,0,1,0,0,2020,6,28,6,0,0,0,0
37.0,0,152630.71,18,28803.19,301.0,1,191686.86,1,0,0,1,0,0,0,0,0,1,0,2020,6,29,0,0,0,1,0
64.0,1,59191.76,6,25350.98,688.0,1,302949.95,0,0,0,1,0,0,0,0,0,0,0,2020,6,30,1,0,0,1,0
34.0,1,32591.97,29,34995.39,557.0,0,374543.62,0,0,0,0,0,1,0,0,0,1,0,2020,1,7,1,0,0,0,1
63.0,1,51647.3,16,67219.93,594.0,1,221466.37,0,0,0,0,0,1,1,0,0,0,0,2020,2,7,4,1,0,0,0
64.0,0,61261.61,19,33729.87,433.0,1,451180.04,0,0,0,1,0,0,0,0,0,1,0,2020,3,7,5,0,1,0,0
55.0,0,73382.32,22,45473.9,472.0,1,131843.82,0,0,0,0,1,0,0,1,0,0,0,2020,4,7,1,1,0,0,0
60.0,1,93653.51,24,33807.41,461.0,1,368838.64,0,0,0,0,1,0,0,0,0,0,0,2020,5,7,3,0,0,0,1
31.0,0,95693.72,10,32649.31,475.0,1,517792.68,1,0,0,1,0,0,1,0,0,0,0,2020,6,7,6,0,0,1,0
50.0,1,77805.91,32,53548.0,615.0,1,455282.53,0,0,0,0,0,0,0,0,1,0,0,2020,7,7,1,1,0,0,0
25.0,0,87500.32,5,31972.25,309.0,1,247704.90777003483,0,0,0,0,0,1,0,0,0,1,0,2020,8,7,4,0,0,0,1
21.0,1,85476.32999999999,29,20635.94,674.0,0,405237.33,0,0,1,0,0,0,0,0,0,1,0,2020,9,7,0,0,1,0,0
42.0,0,53078.63,24,14611.75,630.0,1,217868.16,0,0,0,1,0,0,1,0,0,0,0,2020,10,7,2,1,0,0,0
34.0,0,88256.61,20,32759.18,612.0,1,456246.89,0,0,0,0,0,0,0,0,0,0,0,2020,11,7,5,0,1,0,0
26.0,0,114432.56,2,44587.53,824.0,1,194490.72,0,0,0,0,1,0,0,0,0,0,0,2020,12,7,0,0,0,0,1
47.0,1,124371.71,27,27369.78,363.0,0,216991.43,0,0,1,0,0,0,0,0,1,0,0,2020,7,13,0,1,0,0,0
67.0,0,48873.62,4,20713.15,738.0,0,30953.72,0,0,0,1,0,0,0,1,0,0,0,2020,7,14,1,0,0,0,0
32.0,1,99622.41,11,27462.26,557.0,1,378397.19,0,0,0,1,0,0,0,0,0,1,0,2020,7,15,2,0,1,0,0
28.0,1,76219.51,31,44249.58,741.0,1,342603.87,0,0,1,0,0,0,0,0,0,1,0,2020,7,16,3,0,0,1,0
