customer_id,age,gender,city,income,education,experience_years,monthly_spending,credit_score,signup_date,has_credit_card,loan_amount,employment_type,defaulted
C100022,33.0,Male,Lahore,85476.32999999999,PhD,28,34798.72,544.0,2020-01-23,Yes,230351.87,Private,0
C100023,31.0,Male,islamabad,78445.58,PhD,31,34763.97,731.0,2020-01-24,Yes,247704.90777003483,Business,0
C100024,46.22862068965517,Male,faisalabad,102667.16,Master,24,19542.05,825.0,2020-01-25,Yes,359426.22,Student,0
C100025,64.0,Female,Lahore,41300.58,PhD,34,53535.5,387.0,2020-01-26,Yes,191453.46,Student,1
C100026,63.0,Male,karachi,72347.8,Master,11,54133.1,303.0,2020-01-27,Yes,237791.32,Student,0
C100027,30.0,Female,Lahore,68583.23,Bachelor,3,34798.72,809.0,2020-01-28,Yes,270733.03,Unemployed,0
C100028,41.0,Female,rawalpindi,70968.21,PhD,5,27433.89,840.0,2020-01-29,Yes,-18893.53,Student,0
C100029,60.0,Female,Lahore,127470.91,Master,11,42191.61,762.0,2020-01-30,No,397244.4,Unemployed,0
C100030,26.0,Male,faisalabad,130851.96,Matric,4,54607.7,343.0,2020-01-31,Yes,23747.96,Student,1
C100031,-5.0,Male,islamabad,87674.16,PhD,34,28539.23,524.0,2020-01-02,No,459441.32,Government,0
C100032,43.0,Female,islamabad,95378.03,Matric,24,41822.74,793.0,2020-02-02,Yes,89008.78,Private,1
C100033,70.0,Male,faisalabad,103175.66,Matric,14,75005.71,786.0,2020-03-02,Yes,494239.53,Student,0
C100034,60.0,Female,rawalpindi,106527.47,Intermediate,11,40369.73,388.0,2020-04-02,Yes,208138.71,Business,0
C100035,31.0,Female,rawalpindi,109865.92,Bachelor,21,7937.63,647.0,2020-05-02,Yes,378893.33,Private,1
C100036,65.0,Male,faisalabad,85476.32999999999,Master,2,49185.26,725.0,2020-06-02,Yes,300291.4,Government,1
C100037,63.0,Male,islamabad,100023.12,Bachelor,19,6196.1,574.3770154373927,2020-07-02,Yes,196227.24,Private,0
C100038,30.0,Female,rawalpindi,111644.82,Intermediate,5,31884.66,391.0,2020-08-02,Yes,203263.2,Business,1
C100039,47.0,Male,Lahore,38307.35,Intermediate,7,54642.52,411.0,2020-09-02,No,114074.7,Unemployed,1
C100040,63.0,Male,Unknown,81008.02,Intermediate,25,66450.03,696.0,2020-10-02,Yes,32147.66,Private,0
C100041,31.0,Male,rawalpindi,85476.32999999999,Matric,15,46965.47,521.0,2020-11-02,No,200806.34,Business,1
C100042,31.0,Male,Lahore,23099.56,PhD,13,18644.42,512.0,2020-12-02,no,198684.66,Student,0
C100043,27.0,Male,faisalabad,73278.0,Master,29,51038.27,404.0,2020-02-13,No,376916.71,Student,0
C100044,18.0,Female,islamabad,109955.37,PhD,8,0.0,582.0,2020-02-14,No,92149.9,Private,0
C100045,46.0,Female,Lahore,120125.34,PhD,33,28491.21,658.0,2020-02-15,Yes,159002.45,Unemployed,1
C100046,18.0,Female,Lahore,89174.57,Intermediate,2,21382.64,644.0,2020-02-16,No,298081.35,Unemployed,0
C100047,51.0,Male,rawalpindi,49093.91,Master,12,41535.82,782.0,2020-02-17,No,322897.71,Government,0
C100048,41.0,Female,islamabad,110828.09,Master,11,31639.67,828.0,2020-02-18,No,347866.62,Government,0
C100049,28.0,Male,rawalpindi,65683.68,Master,8,62275.52,424.0,2020-02-19,No,311732.89,Government,0
C100050,38.0,Female,islamabad,82415.99,Master,4,68159.34,508.0,2020-02-20,No,235546.18,Student,0
C100051,18.0,Female,faisalabad,79627.86,Bachelor,10,32073.91,329.0,2020-02-21,Yes,261305.0,Unemployed,1
C100052,26.0,Male,islamabad,120908.59,Bachelor,2,26210.39,505.0,2020-02-22,Yes,344160.65,Government,1
C100053,44.0,Male,Lahore,128227.57,Intermediate,26,44471.2,502.0,2020-02-23,Yes,404696.41,Government,0
C100054,22.0,Male,rawalpindi,100433.31,Master,7,28389.11,322.0,2020-02-24,No,236969.72,Business,1
C100055,59.0,Male,islamabad,85476.32999999999,Master,28,46132.63,479.0,2020-02-25,No,233229.72,Business,1
C100056,32.0,Female,Lahore,83339.64,Bachelor,7,34045.31,378.0,2020-02-26,Yes,356381.46,Government,0
C100057,70.0,Female,islamabad,51969.1,Bachelor,2,13559.2,322.0,2020-02-27,No,158621.31,Student,0
C100058,27.0,Female,Lahore,80973.69,Matric,12,49023.16,340.0,2020-02-28,No,224928.39,Unemployed,0
C100059,53.0,Male,islamabad,118618.69,Bachelor,16,34798.72,334.0,2020-02-29,Yes,363241.68,Private,1
C100060,47.0,Male,karachi,79441.48,Intermediate,24,58364.58,574.3770154373927,2020-01-03,Yes,169284.18,Government,0
C100061,70.0,Male,karachi,70034.62,PhD,32,16012.97,755.0,2020-02-03,No,275952.9,Private,0
C100062,53.0,Female,islamabad,74960.67,Bachelor,30,20713.74,681.0,2020-03-03,Yes,212585.66,Business,0
C100063,67.0,Female,faisalabad,85476.32999999999,Matric,1,9999999.0,547.0,2020-04-03,Yes,238729.85,Business,0
C100064,44.0,Female,karachi,109573.82,Intermediate,8,21865.49,768.0,2020-05-03,No,328772.41,Business,0
C100065,30.0,Male,rawalpindi,130553.87,Bachelor,12,38495.41,479.0,2020-06-03,No,218272.51,Business,0
C100066,28.0,Female,rawalpindi,60430.09,Intermediate,17,35984.41,687.0,2020-07-03,Yes,102801.66,Student,0
C100067,67.0,Male,Lahore,101262.43,PhD,16,42929.35,471.0,2020-08-03,Yes,301921.99,Business,0
C100068,46.22862068965517,Male,islamabad,41789.7,PhD,6,52317.5,574.3770154373927,2020-09-03,Yes,286660.76,Private,0
C100069,46.22862068965517,Male,rawalpindi,85476.32999999999,Matric,11,30900.21,539.0,2020-10-03,No,163438.75,Unemployed,0
C100070,48.0,Male,Lahore,80193.94,Bachelor,8,6026.85,559.0,2020-11-03,Yes,347585.63,Private,0
C100071,33.0,Female,islamabad,59518.95,Intermediate,22,13850.62,327.0,2020-12-03,Yes,188428.47,Business,0
C100072,41.0,Male,islamabad,67329.32,Matric,0,25550.85,348.0,2020-03-13,No,333805.04,Government,0
C100073,63.0,Female,islamabad,75024.48,Intermediate,27,47838.61,309.0,2020-03-14,Yes,378572.69,Government,0
C100074,43.0,Female,Lahore,94035.7,PhD,3,30199.58,829.0,2020-03-15,No,196510.66,Student,0
C100075,67.0,Male,islamabad,53743.68,PhD,19,9674.08,515.0,2020-03-16,Yes,303153.58,Government,0
C100076,46.22862068965517,Male,islamabad,69810.89,Master,5,25485.94,574.3770154373927,2020-03-17,No,393123.92,Business,1
C100077,35.0,Male,rawalpindi,49801.75,Master,8,34798.72,806.0,2020-03-18,No,194463.72,Private,0
C100078,47.0,Female,faisalabad,110106.96,Matric,34,31541.26,724.0,2020-03-19,No,230401.53,Business,0
C100079,48.0,Female,faisalabad,93629.61,Bachelor,29,25804.84,648.0,2020-03-20,Yes,145103.35,Government,0
C100080,48.0,Female,Lahore,101376.57,Bachelor,4,30837.17,648.0,2020-03-21,Yes,314783.86,Business,0
C100081,46.22862068965517,Female,rawalpindi,71162.43,PhD,18,13540.89,632.0,2020-03-22,Yes,482130.41,Student,0
C100082,39.0,Female,karachi,137891.61,Bachelor,15,31078.45,578.0,2020-03-23,No,236276.31,Unemployed,0
C100083,51.0,Female,islamabad,63600.2,Intermediate,7,8814.37,670.0,2020-03-24,Yes,267277.19,Unemployed,0
C100084,70.0,Male,faisalabad,57196.32,Intermediate,18,40837.65,327.0,2020-03-25,No,152129.06,Unemployed,0
C100085,31.0,Male,karachi,105452.27,Master,20,31720.76,312.0,2020-03-26,Yes,74588.68,Private,0
C100086,54.0,Female,karachi,48057.4,Matric,2,50535.44,781.0,2020-03-27,no,304765.83,Business,0
C100087,61.0,Male,faisalabad,116935.95,Matric,1,33133.89,797.0,2020-03-28,Yes,526662.36,Business,0
C100088,70.0,Male,karachi,95386.39,Master,3,49123.79,528.0,2020-03-29,Yes,182637.11,Student,0
C100089,27.0,Male,faisalabad,95827.18,Bachelor,20,23709.17,686.0,2020-03-30,Yes,247704.90777003483,Unemployed,0
C100090,56.0,Male,faisalabad,116607.71,PhD,8,32152.86,834.0,2020-03-31,Yes,177650.99,Student,0
C100091,35.0,Female,karachi,121221.57,Bachelor,21,34798.72,575.0,2020-01-04,Yes,254477.04,Business,0
C100092,43.0,Male,islamabad,91732.05,Matric,20,12204.91,301.0,2020-02-04,Yes,511569.31,Business,1
C100093,18.0,Female,karachi,94195.2,Master,7,9708.6,336.0,2020-03-04,No,412994.78,Student,0
C100094,59.0,Male,faisalabad,66309.05,Master,29,34798.72,731.0,2020-04-04,No,503886.19,Business,0
C100095,19.0,Male,karachi,18801.67,PhD,31,32757.15,373.0,2020-05-04,No,555700.31,Government,1
C100096,39.0,Female,karachi,72432.49,Matric,15,34798.72,843.0,2020-06-04,No,161724.73,Unemployed,0
C100097,46.0,Male,faisalabad,33878.56,Master,10,62181.46,627.0,2020-07-04,No,230609.94,Government,0
C100098,56.0,Female,Lahore,78071.12,Matric,32,29426.6,503.0,2020-08-04,Yes,399374.71,Student,1
C100099,44.0,Male,Lahore,124556.13,Bachelor,27,30431.66,549.0,2020-09-04,Yes,128545.23,Private,0
C100100,65.0,Male,islamabad,79763.81,PhD,12,40788.71,497.0,2020-10-04,Yes,214483.55,Government,0
C100101,46.22862068965517,Male,rawalpindi,100784.63,Matric,29,22898.13,579.0,2020-11-04,No,100660.08,Student,0
C100102,32.0,Female,Lahore,75871.6,PhD,6,24041.35,821.0,2020-12-04,No,113815.06,Business,0
C100103,32.0,Male,islamabad,91854.41,Bachelor,11,10569.18,836.0,2020-04-13,No,242127.74,Private,0
C100104,46.22862068965517,Female,faisalabad,79576.64,Master,31,51562.03,816.0,2020-04-14,No,231822.04,Business,0
C100105,18.0,Female,rawalpindi,85476.32999999999,Bachelor,13,44022.96,756.0,2020-04-15,Yes,270752.88,Business,0
C100106,42.0,Female,karachi,87872.39,Matric,1,24725.01,574.3770154373927,2020-04-16,No,431821.22,Student,1
C100107,39.0,Female,rawalpindi,28235.58,PhD,3,27617.4,321.0,2020-04-17,Yes,154312.29,Private,1
C100108,51.0,Female,karachi,57246.43,Bachelor,32,8504.28,746.0,2020-04-18,Yes,31076.25,Private,0
C100109,50.0,Male,faisalabad,75873.24,Bachelor,4,9523.12,703.0,2020-04-19,Yes,292573.72,Private,0
C100110,34.0,Male,rawalpindi,85476.32999999999,Bachelor,26,62047.8,817.0,2020-04-20,Yes,254116.29,Student,0
C100111,42.0,Male,rawalpindi,89649.59,Bachelor,18,29813.32,358.0,2020-04-21,No,190378.25,Unemployed,0
C100112,46.0,Female,Lahore,71570.02,Master,24,45935.07,362.0,2020-04-22,No,130872.87,Unemployed,1
C100113,65.0,Female,Lahore,29840.36,Master,5,48033.15,574.3770154373927,2020-04-23,Yes,204694.32,Student,1
C100114,46.22862068965517,Male,islamabad,105717.3,Master,22,38771.56,484.0,2020-04-24,Yes,175552.26,Government,0
C100115,53.0,Male,faisalabad,76743.77,PhD,30,61901.42,818.0,2020-04-25,Yes,248781.76,Private,0
C100116,22.0,Male,islamabad,64577.91,Matric,13,32727.7,479.0,2020-04-26,Yes,272621.53,Private,0
C100117,33.0,Male,rawalpindi,86686.3,Matric,9,38328.24,364.0,2020-04-27,Yes,244852.29,Government,0
C100118,43.0,Female,karachi,80996.32,Intermediate,23,37265.83,396.0,2020-04-28,No,166524.83,Unemployed,0
C100119,64.0,Male,faisalabad,50082.59,Matric,34,34079.53,557.0,2020-04-29,Yes,309496.54,Private,0
C100120,37.0,Female,islamabad,77236.9,PhD,26,78108.08,399.0,2020-04-30,Yes,191737.8,Student,0
C100121,46.0,Female,Lahore,48032.57,Master,1,36526.68,653.0,2020-01-05,Yes,172157.38,Government,0
C100122,50.0,Male,karachi,144805.74,Master,30,36340.66,458.0,2020-02-05,Yes,152703.73,Government,0
C100123,61.0,Male,karachi,82447.09,Bachelor,19,30892.73,777.0,2020-03-05,No,263526.13,Private,0
C100124,40.0,Male,Unknown,93795.96,Intermediate,18,25164.43,426.0,2020-04-05,Yes,108713.59,Business,0
C100125,50.0,Female,Lahore,117557.21,Bachelor,23,32990.87,373.0,2020-05-05,Yes,250324.58,Government,0
C100126,65.0,Female,Unknown,128428.89,Bachelor,22,26136.89,627.0,2020-06-05,Yes,307587.46,Business,0
C100127,42.0,Male,rawalpindi,74485.38,Master,9,29160.35,643.0,2020-07-05,No,188983.28,Private,0
C100128,71.0,Male,rawalpindi,129946.78,Matric,10,43024.6,715.0,2020-08-05,Yes,228591.39,Business,0
C100129,40.0,Female,faisalabad,18861.0,PhD,34,16721.58,592.0,2020-09-05,No,-4939.53,Government,0
C100130,42.0,Male,rawalpindi,119335.43,Matric,28,44472.11,694.0,2020-10-05,Yes,399577.16,Student,0
C100131,19.0,Female,Lahore,142137.0,Matric,7,41561.2,466.0,2020-11-05,No,530982.73,Business,0
C100132,48.0,Female,islamabad,98921.72,PhD,22,36988.97,449.0,2020-12-05,Yes,272625.32,Government,0
C100133,44.0,Male,islamabad,100809.89,Master,21,41621.74,821.0,2020-05-13,Yes,377257.41,Private,0
C100134,41.0,Female,karachi,101023.83,PhD,7,24669.19,663.0,2020-05-14,Yes,456793.64,Unemployed,0
C100135,53.0,Female,rawalpindi,56387.78,Master,13,34798.72,473.0,2020-05-15,Yes,264442.86,Business,0
C100136,49.0,Female,rawalpindi,68917.53,Intermediate,26,31465.26,308.0,2020-05-16,No,442812.65,Unemployed,1
C100137,46.22862068965517,Female,karachi,85476.32999999999,Master,28,61655.57,607.0,2020-05-17,Yes,247704.90777003483,Private,0
C100138,41.0,Female,islamabad,121942.71,Matric,8,56688.04,397.0,2020-05-18,Yes,129822.67,Student,0
C100139,42.0,Male,karachi,85476.32999999999,Matric,16,39577.07,760.0,2020-05-19,Yes,298763.35,Business,0
C100140,64.0,Male,islamabad,109633.6,PhD,31,38158.83,390.0,2020-05-20,No,83510.37,Private,1
C100141,45.0,Male,Lahore,103046.36,Bachelor,24,23106.55,347.0,2020-05-21,No,410821.57,Government,1
C100142,32.0,Male,rawalpindi,92762.64,Master,28,33791.33,353.0,2020-05-22,No,80721.61,Private,0
C100143,47.0,Male,Lahore,88599.09,Intermediate,27,22350.3,597.0,2020-05-23,No,236780.58,Private,0
C100144,46.0,Female,rawalpindi,68690.23,PhD,8,47912.33,715.0,2020-05-24,Yes,-58679.79,Unemployed,1
C100145,41.0,Female,Lahore,67350.0,Bachelor,33,14897.91,453.0,2020-05-25,Yes,79618.5,Unemployed,0
C100146,48.0,Male,karachi,98935.92,PhD,10,16701.41,686.0,2020-05-26,No,82867.28,Government,0
C100147,50.0,Female,rawalpindi,131064.88,Master,6,32362.06,739.0,2020-05-27,Yes,240667.96,Government,0
C100148,73.0,Female,islamabad,83984.41,Intermediate,3,52103.7,659.0,2020-05-28,No,218321.27,Government,0
C100149,22.0,Male,karachi,125119.68,Master,16,34798.72,530.0,2020-05-29,No,259314.06,Student,0
C100150,70.0,Male,Lahore,97117.67,Intermediate,15,42460.83,531.0,2020-05-30,Yes,321796.15,Business,0
C100151,45.0,Female,Unknown,54540.38,Master,34,23753.18,680.0,2020-05-31,No,407936.19,Government,0
C100152,39.0,Male,islamabad,74555.22,PhD,2,17921.66,689.0,2020-01-06,No,122743.52,Business,0
C100153,52.0,Female,islamabad,113464.25,PhD,34,29311.36,357.0,2020-02-06,Yes,133972.67,Business,0
C100154,24.0,Female,Lahore,84438.01,Bachelor,22,11080.25,631.0,2020-03-06,Yes,219048.56,Unemployed,0
C100155,60.0,Male,islamabad,71687.01,Master,9,24656.37,550.0,2020-04-06,Yes,380875.16,Business,0
C100156,23.0,Male,karachi,91430.44,Matric,12,31065.67,517.0,2020-05-06,Yes,94996.99,Business,0
C100157,46.22862068965517,Male,rawalpindi,85476.32999999999,Master,8,34798.72,448.0,2020-06-06,Yes,474688.46,Private,1
C100158,29.0,Male,Lahore,77636.75,Bachelor,16,62519.3,574.3770154373927,2020-07-06,No,68833.7,Unemployed,0
C100159,35.0,Female,Lahore,38934.76,Matric,16,56345.35,723.0,2020-08-06,Yes,43760.54,Private,0
C100160,44.0,Male,faisalabad,78469.85,PhD,9,48714.24,388.0,2020-09-06,No,407956.01,Government,0
C100161,18.0,Female,karachi,72620.6,Matric,11,36061.67,386.0,2020-10-06,Yes,252912.52,Government,0
C100162,68.0,Male,karachi,99968.61,PhD,29,11412.03,501.0,2020-11-06,No,319294.3,Student,0
C100163,61.0,Male,karachi,97099.88,Intermediate,33,26321.24,539.0,2020-12-06,Yes,320057.39,Private,0
C100164,72.0,Female,islamabad,82649.84,PhD,8,34798.72,704.0,2020-06-13,Yes,247704.90777003483,Unemployed,0
C100165,22.0,Female,Lahore,149023.41,Intermediate,11,57911.26,603.0,2020-06-14,Yes,403744.2,Student,0
C100166,28.0,Female,islamabad,104060.26,Intermediate,7,41287.25,387.0,2020-06-15,No,329665.32,Government,0
C100167,45.0,Male,islamabad,99852.21,Bachelor,33,44660.1,378.0,2020-06-16,Yes,293405.49,Government,0
C100168,66.0,Male,Lahore,25684.98,PhD,15,46942.53,573.0,2020-06-17,Yes,286651.91,Unemployed,1
C100169,35.0,Female,Lahore,26891.58,Bachelor,16,52201.98,820.0,2020-06-18,No,291247.94,Private,1
C100170,35.0,Male,rawalpindi,110318.84,Master,30,63240.25,322.0,2020-06-19,No,131387.18,Government,0
C100171,65.0,Male,faisalabad,47878.06,Intermediate,8,37451.28,769.0,2020-06-20,No,211888.03,Business,1
C100172,18.0,Female,Lahore,58350.5,Bachelor,34,52420.8,687.0,2020-06-21,No,304052.57,Student,0
C100173,72.0,Male,islamabad,58973.99,Intermediate,19,23076.72,528.0,2020-06-22,Yes,209018.87,Unemployed,0
C100174,28.0,Male,faisalabad,106108.51,Matric,20,60703.59,625.0,2020-06-23,Yes,257139.26,Student,0
C100175,36.0,Male,Lahore,102748.61,Master,8,59418.15,706.0,2020-06-24,No,245537.73,Private,0
C100176,36.0,Male,faisalabad,96189.15,Matric,26,32788.79,824.0,2020-06-25,Yes,285479.58,Business,0
C100177,69.0,Male,rawalpindi,85476.32999999999,Matric,34,53152.39,786.0,2020-06-26,Yes,313990.16,Business,0
C100178,64.0,Male,islamabad,52425.39,Matric,13,41097.94,560.0,2020-06-27,Yes,256816.4,Business,0
C100179,37.0,Female,rawalpindi,83604.84,Matric,31,42200.89,539.0,2020-06-28,No,327009.67,Business,0
C100180,37.0,Female,islamabad,152630.71,PhD,18,28803.19,301.0,2020-06-29,Y,191686.86,Student,1
C100181,64.0,Male,islamabad,59191.76,Bachelor,6,25350.98,688.0,2020-06-30,Yes,302949.95,Student,0
C100182,34.0,Male,rawalpindi,32591.97,PhD,29,34995.39,557.0,2020-01-07,No,374543.62,Unemployed,0
C100183,63.0,Male,rawalpindi,51647.3,Intermediate,16,67219.93,594.0,2020-02-07,Yes,221466.37,Government,0
C100184,64.0,Female,islamabad,61261.61,PhD,19,33729.87,433.0,2020-03-07,Yes,451180.04,Private,0
C100185,55.0,Female,karachi,73382.32,Master,22,45473.9,472.0,2020-04-07,Yes,131843.82,Government,0
C100186,60.0,Male,karachi,93653.51,Bachelor,24,33807.41,461.0,2020-05-07,Yes,368838.64,Unemployed,0
C100187,31.0,Female,islamabad,95693.72,Intermediate,10,32649.31,475.0,2020-06-07,Yes,517792.68,Student,1
C100188,50.0,Male,Lahore,77805.91,Matric,32,53548.0,615.0,2020-07-07,Yes,455282.53,Government,0
C100189,25.0,Female,rawalpindi,87500.32,PhD,5,31972.25,309.0,2020-08-07,Yes,247704.90777003483,Unemployed,0
C100190,21.0,Male,faisalabad,85476.32999999999,PhD,29,20635.94,674.0,2020-09-07,No,405237.33,Private,0
C100191,42.0,Female,islamabad,53078.63,Intermediate,24,14611.75,630.0,2020-10-07,Yes,217868.16,Government,0
C100192,34.0,Female,Lahore,88256.61,Bachelor,20,32759.18,612.0,2020-11-07,Yes,456246.89,Private,0
C100193,26.0,Female,karachi,114432.56,Bachelor,2,44587.53,824.0,2020-12-07,Yes,194490.72,Unemployed,0
C100194,47.0,Male,faisalabad,124371.71,Matric,27,27369.78,363.0,2020-07-13,No,216991.43,Government,0
C100195,67.0,Female,islamabad,48873.62,Master,4,20713.15,738.0,2020-07-14,No,30953.72,Business,0
C100196,32.0,Male,islamabad,99622.41,PhD,11,27462.26,557.0,2020-07-15,Yes,378397.19,Private,0
C100197,28.0,Male,faisalabad,76219.51,PhD,31,44249.58,741.0,2020-07-16,Yes,342603.87,Student,0
C100198,67.0,Male,Lahore,70989.6,PhD,18,27762.91,353.0,2020-07-17,Yes,246310.75,Student,0
C100199,19.0,Female,karachi,66145.52,Intermediate,19,19322.53,423.0,2020-07-18,no,356920.31,Unemployed,0
C100200,51.0,Female,karachi,102429.48,Intermediate,20,19461.31,694.0,2020-07-19,No,356912.99,Student,0
C100201,49.0,Male,karachi,57702.47,Intermediate,14,24161.34,396.0,2020-07-20,No,85308.77,Student,0
C100202,44.0,Female,Unknown,30085.79,Bachelor,0,750000.0,422.0,2020-07-21,Yes,519932.36,Private,1
C100203,42.0,Male,Lahore,65506.98,Intermediate,34,24988.27,427.0,2020-07-22,Yes,276642.15,Private,0
C100204,19.0,Male,faisalabad,121701.89,Intermediate,34,51035.05,597.0,2020-07-23,Yes,312708.69,Unemployed,0
C100205,66.0,Male,Lahore,85476.32999999999,Intermediate,25,32620.79,482.0,2020-07-24,No,455645.37,Government,0
C100206,21.0,Female,islamabad,88997.04,Intermediate,19,71385.65,788.0,2020-07-25,No,135439.22,Government,0
C100207,27.0,Female,rawalpindi,75259.65,Unknown,27,33748.17,824.0,2020-07-26,No,144595.96,Private,0
C100208,68.0,Male,faisalabad,117522.42,Bachelor,20,38547.87,381.0,2020-07-27,Yes,247704.90777003483,Student,0
C100209,38.0,Male,faisalabad,99128.01,Master,4,39975.33,674.0,2020-07-28,No,257825.78,Private,0
C100210,44.0,Male,islamabad,157642.3,Matric,5,43833.8,803.0,2020-07-29,Yes,468813.79,Private,0
C100211,54.0,Female,rawalpindi,105345.02,Master,2,12467.03,330.0,2020-07-30,Yes,119220.65,Unemployed,0
C100212,50.0,Male,Lahore,43419.82,PhD,34,39740.71,404.0,2020-07-31,Yes,355351.97,Student,1
C100213,71.0,Female,rawalpindi,84092.28,Matric,17,50022.4,316.0,2020-01-08,Yes,234535.05,Business,0
C100214,71.0,Female,Lahore,130210.28,PhD,19,36705.07,574.3770154373927,2020-02-08,Yes,64048.23,Private,0
C100215,32.0,Female,islamabad,31003.67,Master,19,37727.14,762.0,2020-03-08,Yes,-29357.89,Business,0
C100216,61.0,Male,karachi,139533.0,Matric,26,31975.95,583.0,2020-04-08,No,271411.01,Private,0
C100217,57.0,Male,rawalpindi,81726.63,Master,30,30094.22,620.0,2020-05-08,Yes,88170.67,Student,0
C100218,32.0,Female,Lahore,64116.85,PhD,21,30022.75,783.0,2020-06-08,Yes,284369.04,Private,0
C100219,26.0,Male,islamabad,59367.44,PhD,14,47043.55,790.0,2020-07-08,No,280713.2,Business,0
C100220,64.0,Male,karachi,76730.1,Master,24,39459.41,574.3770154373927,2020-08-08,No,247704.90777003483,Unemployed,1
C100221,60.0,Female,Lahore,84121.03,Matric,9,36765.75,371.0,2020-09-08,No,209205.99,Business,0
C100222,39.0,Male,rawalpindi,85476.32999999999,PhD,24,42505.34,655.0,2020-10-08,Yes,393356.61,Private,1
C100223,34.0,Female,Lahore,72406.61,PhD,5,35606.23,323.0,2020-11-08,No,270886.8,Government,0
C100224,57.0,Female,islamabad,128606.62,Bachelor,21,37671.29,707.0,2020-12-08,Yes,242004.76,Government,0
C100225,31.0,Female,Lahore,57158.73,Bachelor,0,14555.68,804.0,2020-08-13,Yes,672024.49,Government,0
C100226,44.0,Female,karachi,82391.02,Master,24,58980.18,743.0,2020-08-14,Yes,381674.78,Student,1
C100227,31.0,Female,Lahore,107403.98,Master,29,25051.05,795.0,2020-08-15,Yes,72146.48,Business,1
C100228,53.0,Male,islamabad,131887.79,Intermediate,11,20175.44,695.0,2020-08-16,Yes,257540.28,Business,0
C100229,39.0,Female,karachi,75117.84,Master,7,22905.98,734.0,2020-08-17,Yes,202973.94,Private,1
C100230,55.0,Male,karachi,90057.71,Intermediate,26,25461.94,306.0,2020-08-18,Yes,238614.62,Business,0
C100231,36.0,Male,karachi,50446.45,Matric,15,21431.85,631.0,2020-08-19,No,220180.26,Student,0
C100232,53.0,Male,karachi,90224.52,Master,29,41546.64,308.0,2020-08-20,Yes,336485.56,Government,0
C100233,52.0,Female,Lahore,95530.96,Bachelor,9,42951.57,629.0,2020-08-21,Yes,272796.49,Business,0
C100234,43.0,Male,karachi,92187.77,Master,24,12847.05,660.0,2020-08-22,No,248390.73,Government,0
C100235,49.0,Female,karachi,73667.08,Bachelor,16,26466.63,476.0,2020-08-23,No,378859.46,Government,1
C100236,28.0,Female,karachi,90865.12,Bachelor,28,51603.31,700.0,2020-08-24,Yes,193161.65,Private,0
C100237,60.0,Female,karachi,85476.32999999999,Master,7,70524.1,537.0,2020-08-25,Yes,140145.64,Private,0
